category	display	page	task_entries	pct
Phix	Phix	Phix	1732	100%
Wren	Wren	Wren	1732	100%
Julia	Julia	Julia	1730	99.88%
Raku	Raku	Raku	1691	97.63%
FreeBASIC	FreeBASIC	FreeBASIC	1686	97.34%
Python	Python	Python	1660	95.84%
Java	Java	Java	1615	93.24%
Nim	Nim	Nim	1613	93.13%
Perl	Perl	Perl	1611	93.01%
Go	Go	Go	1606	92.73%
C++	C++	C++	1470	84.87%
J	J	J	1417	81.81%
C	C	C	1325	76.5%
Mathematica	Mathematica	Mathematica	1276	73.67%
Ruby	Ruby	Ruby	1250	72.17%
Rust	Rust	Rust	1215	70.15%
Jq	Jq	Jq	1205	69.57%
Haskell	Haskell	Haskell	1192	68.82%
REXX	REXX	REXX	1186	68.48%
Kotlin	Kotlin	Kotlin	1182	68.24%
ALGOL 68	ALGOL 68	ALGOL 68	1122	64.78%
Racket	Racket	Racket	1105	63.8%
C sharp	C sharp	C sharp	1075	62.07%
Sidef	Sidef	Sidef	1070	61.78%
EasyLang	EasyLang	EasyLang	1057	61.03%
Ada	Ada	Ada	1054	60.85%
11l	11l	11l	1016	58.66%
Zkl	Zkl	Zkl	1012	58.43%
Lua	Lua	Lua	1010	58.31%
Factor	Factor	Factor	1004	57.97%
Tcl	Tcl	Tcl	999	57.68%
D	D	D	995	57.45%
JavaScript	JavaScript	JavaScript	988	57.04%
Scala	Scala	Scala	983	56.76%
Delphi	Delphi	Delphi	948	54.73%
XPL0	XPL0	XPL0	944	54.5%
F Sharp	F Sharp	F Sharp	882	50.92%
PicoLisp	PicoLisp	PicoLisp	847	48.9%
Ring	Ring	Ring	840	48.5%
AutoHotkey	AutoHotkey	AutoHotkey	823	47.52%
R	R	R	818	47.23%
Arturo	Arturo	Arturo	800	46.19%
Common Lisp	Common Lisp	Common Lisp	784	45.27%
RPL	RPL	RPL	778	44.92%
Quackery	Quackery	Quackery	754	43.53%
Fortran	Fortran	Fortran	751	43.36%
PureBasic	PureBasic	PureBasic	747	43.13%
Pascal	Pascal	Pascal	739	42.67%
BASIC	BASIC	BASIC	721	41.63%
FutureBasic	FutureBasic	FutureBasic	721	41.63%
AWK	AWK	AWK	717	41.4%
OCaml	OCaml	OCaml	692	39.95%
Unicon	Unicon	Unicon	682	39.38%
Clojure	Clojure	Clojure	648	37.41%
Swift	Swift	Swift	644	37.18%
Forth	Forth	Forth	639	36.89%
Icon	Icon	Icon	628	36.26%
PARI/GP	PARI/GP	PARI-GP	624	36.03%
PascalABC.NET	PascalABC.NET	PascalABC.NET	622	35.91%
BBC BASIC	BBC BASIC	BBC BASIC	591	34.12%
Yabasic	Yabasic	Yabasic	576	33.26%
M2000 Interpreter	M2000 Interpreter	M2000 Interpreter	555	32.04%
Elixir	Elixir	Elixir	550	31.76%
Action!	Action!	Action!	540	31.18%
Erlang	Erlang	Erlang	534	30.83%
V (Vlang)	V	V (Vlang)	531	30.66%
Prolog	Prolog	Prolog	524	30.25%
PowerShell	PowerShell	PowerShell	518	29.91%
BASIC256	BASIC256	BASIC256	505	29.16%
Groovy	Groovy	Groovy	503	29.04%
PHP	PHP	PHP	487	28.12%
AppleScript	AppleScript	AppleScript	476	27.48%
Seed7	Seed7	Seed7	476	27.48%
PL/I	PL/I	PL-I	450	25.98%
Pluto	Pluto	Pluto	438	25.29%
Scheme	Scheme	Scheme	438	25.29%
VBA	VBA	VBA	417	24.08%
MATLAB	MATLAB	MATLAB	412	23.79%
Maple	Maple	Maple	406	23.44%
Visual Basic .NET	Visual Basic .NET	Visual Basic .NET	404	23.33%
Run BASIC	Run BASIC	Run BASIC	401	23.15%
COBOL	COBOL	COBOL	375	21.65%
Crystal	Crystal	Crystal	361	20.84%
UNIX Shell	UNIX Shell	UNIX Shell	361	20.84%
Liberty BASIC	Liberty BASIC	Liberty BASIC	360	20.79%
Objeck	Objeck	Objeck	357	20.61%
VBScript	VBScript	VBScript	357	20.61%
ALGOL W	ALGOL W	ALGOL W	347	20.03%
Applesoft BASIC	Applesoft BASIC	Applesoft BASIC	347	20.03%
Maxima	Maxima	Maxima	341	19.69%
Picat	Picat	Picat	335	19.34%
APL	APL	APL	327	18.88%
Octave	Octave	Octave	327	18.88%
Smalltalk	Smalltalk	Smalltalk	325	18.76%
Zig	Zig	Zig	318	18.36%
BQN	BQN	BQN	309	17.84%
Oforth	Oforth	Oforth	308	17.78%
Standard ML	Standard ML	Standard ML	308	17.78%
Bracmat	Bracmat	Bracmat	306	17.67%
DuckDB	DuckDB	DuckDB	306	17.67%
EchoLisp	EchoLisp	EchoLisp	303	17.49%
Frink	Frink	Frink	289	16.69%
NetRexx	NetRexx	NetRexx	284	16.4%
Gambas	Gambas	Gambas	281	16.22%
ARM Assembly	ARM Assembly	ARM Assembly	280	16.17%
Oz	Oz	Oz	277	15.99%
True BASIC	True BASIC	True BASIC	271	15.65%
E	E	E	269	15.53%
Lambdatalk	Lambdatalk	Lambdatalk	265	15.3%
Lasso	Lasso	Lasso	259	14.95%
Modula-2	Modula-2	Modula-2	259	14.95%
QBasic	QBasic	QBasic	258	14.9%
Rebol	Rebol	Rebol	252	14.55%
Dart	Dart	Dart	250	14.43%
CLU	CLU	CLU	246	14.2%
Elena	Elena	Elena	245	14.15%
AArch64 Assembly	AArch64 Assembly	AArch64 Assembly	244	14.09%
MiniScript	MiniScript	MiniScript	241	13.91%
OoRexx	OoRexx	OoRexx	238	13.74%
Euphoria	Euphoria	Euphoria	234	13.51%
GW-BASIC	GW-BASIC	GW-BASIC	231	13.34%
Chipmunk Basic	Chipmunk Basic	Chipmunk Basic	227	13.11%
360 Assembly	360 Assembly	360 Assembly	220	12.7%
Batch File	Batch File	Batch File	219	12.64%
CoffeeScript	CoffeeScript	CoffeeScript	219	12.64%
Logo	Logo	Logo	219	12.64%
Stata	Stata	Stata	219	12.64%
ZX Spectrum Basic	ZX Spectrum Basic	ZX Spectrum Basic	217	12.53%
Uiua	Uiua	Uiua	216	12.47%
Free Pascal	Free Pascal	Free Pascal	212	12.24%
IS-BASIC	IS-BASIC	IS-BASIC	212	12.24%
Fōrmulæ	Fōrmulæ	Fōrmulæ	210	12.12%
Emacs Lisp	Emacs Lisp	Emacs Lisp	207	11.95%
Red	Red	Red	201	11.61%
Nanoquery	Nanoquery	Nanoquery	199	11.49%
Lingo	Lingo	Lingo	195	11.26%
Ursala	Ursala	Ursala	193	11.14%
K	K	K	191	11.03%
BaCon	BaCon	BaCon	187	10.8%
SETL	SETL	SETL	186	10.74%
ERRE	ERRE	ERRE	184	10.62%
Cowgol	Cowgol	Cowgol	179	10.33%
QB64	QB64	QB64	177	10.22%
BCPL	BCPL	BCPL	175	10.1%
PL/M	PL/M	PL-M	175	10.1%
NewLISP	NewLISP	NewLISP	173	9.99%
Ol	Ol	Ol	172	9.93%
Phixmonti	Phixmonti	Phixmonti	170	9.82%
Befunge	Befunge	Befunge	169	9.76%
Aime	Aime	Aime	166	9.58%
Pike	Pike	Pike	163	9.41%
Commodore BASIC	Commodore BASIC	Commodore BASIC	162	9.35%
TXR	TXR	TXR	161	9.3%
GAP	GAP	GAP	160	9.24%
Eiffel	Eiffel	Eiffel	159	9.18%
Objective-C	Objective-C	Objective-C	158	9.12%
HicEst	HicEst	HicEst	153	8.83%
TUSCRIPT	TUSCRIPT	TUSCRIPT	152	8.78%
Fantom	Fantom	Fantom	150	8.66%
Nemerle	Nemerle	Nemerle	147	8.49%
MSX Basic	MSX Basic	MSX Basic	144	8.31%
ATS	ATS	ATS	143	8.26%
Nu	Nu	Nu	143	8.26%
Draco	Draco	Draco	141	8.14%
Jsish	Jsish	Jsish	137	7.91%
Dyalect	Dyalect	Dyalect	136	7.85%
Oberon-2	Oberon-2	Oberon-2	135	7.79%
SNOBOL4	SNOBOL4	SNOBOL4	133	7.68%
Agena	Agena	Agena	131	7.56%
Golfscript	Golfscript	Golfscript	131	7.56%
Modula-3	Modula-3	Modula-3	130	7.51%
6502 Assembly	6502 Assembly	6502 Assembly	129	7.45%
LiveCode	LiveCode	LiveCode	129	7.45%
Visual Basic	Visual Basic	Visual Basic	129	7.45%
Amazing Hopper	Amazing Hopper	Amazing Hopper	127	7.33%
Mercury	Mercury	Mercury	127	7.33%
Z80 Assembly	Z80 Assembly	Z80 Assembly	127	7.33%
XBasic	XBasic	XBasic	126	7.27%
8086 Assembly	8086 Assembly	8086 Assembly	124	7.16%
Slate	Slate	Slate	123	7.1%
Min	Min	Min	121	6.99%
EMal	EMal	EMal	120	6.93%
Processing	Processing	Processing	120	6.93%
ActionScript	ActionScript	ActionScript	118	6.81%
Plain English	Plain English	Plain English	118	6.81%
8080 Assembly	8080 Assembly	8080 Assembly	116	6.7%
Bc	Bc	Bc	116	6.7%
MAXScript	MAXScript	MAXScript	116	6.7%
OxygenBasic	OxygenBasic	OxygenBasic	116	6.7%
TI-83 BASIC	TI-83 BASIC	TI-83 BASIC	116	6.7%
Vala	Vala	Vala	112	6.47%
SenseTalk	SenseTalk	SenseTalk	110	6.35%
Ursa	Ursa	Ursa	110	6.35%
MUMPS	MUMPS	MUMPS	109	6.29%
68000 Assembly	68000 Assembly	68000 Assembly	108	6.24%
Vedit macro language	Vedit macro language	Vedit macro language	108	6.24%
Ballerina	Ballerina	Ballerina	106	6.12%
Refal	Refal	Refal	106	6.12%
Déjà Vu	Déjà Vu	Déjà Vu	105	6.06%
Retro	Retro	Retro	104	6%
ArkScript	ArkScript	ArkScript	101	5.83%
DWScript	DWScript	DWScript	100	5.77%
Ed	Ed	Ed	100	5.77%
Langur	Langur	Langur	99	5.72%
Simula	Simula	Simula	97	5.6%
ACL2	ACL2	ACL2	96	5.54%
Tailspin	Tailspin	Tailspin	96	5.54%
Joy	Joy	Joy	95	5.48%
X86 Assembly	X86 Assembly	X86 Assembly	95	5.48%
AutoIt	AutoIt	AutoIt	94	5.43%
Ceylon	Ceylon	Ceylon	94	5.43%
Pop11	Pop11	Pop11	93	5.37%
M4	M4	M4	92	5.31%
PostScript	PostScript	PostScript	92	5.31%
TI-89 BASIC	TI-89 BASIC	TI-89 BASIC	92	5.31%
8th	8th	8th	91	5.25%
Axe	Axe	Axe	91	5.25%
Fermat	Fermat	Fermat	91	5.25%
Dc	Dc	Dc	90	5.2%
FunL	FunL	FunL	90	5.2%
Io	Io	Io	90	5.2%
SQL	SQL	SQL	90	5.2%
MAD	MAD	MAD	88	5.08%
МК-61/52	МК-61/52	МК-61-52	85	4.91%
Excel	Excel	Excel	84	4.85%
Logtalk	Logtalk	Logtalk	81	4.68%
Miranda	Miranda	Miranda	81	4.68%
LFE	LFE	LFE	80	4.62%
Lang	Lang	Lang	79	4.56%
Tiny BASIC	Tiny BASIC	Tiny BASIC	79	4.56%
Minimal BASIC	Minimal BASIC	Minimal BASIC	78	4.5%
