title	slug
100 doors	rc-100-doors
100 prisoners	rc-100-prisoners
15 puzzle game	rc-15-puzzle-game
21 game	rc-21-game
24 game	rc-24-game
24 game/Solve	rc-24-game-solve
4-rings or 4-squares puzzle	rc-4-rings-or-4-squares-puzzle
9 billion names of God the integer	rc-9-billion-names-of-god-the-integer
99 bottles of beer	rc-99-bottles-of-beer
A+B	rc-a-b
Abbreviations, automatic	rc-abbreviations-automatic
Abbreviations, easy	rc-abbreviations-easy
Abbreviations, simple	rc-abbreviations-simple
ABC correlation	rc-abc-correlation
ABC problem	rc-abc-problem
ABC words	rc-abc-words
Abelian sandpile model	rc-abelian-sandpile-model
Abelian sandpile model/Identity	rc-abelian-sandpile-model-identity
Abundant odd numbers	rc-abundant-odd-numbers
Accumulator factory	rc-accumulator-factory
Achilles numbers	rc-achilles-numbers
Aliquot sequence classifications	rc-aliquot-sequence-classifications
Almkvist-Giullera formula for pi	rc-almkvist-giullera-formula-for-pi
Amb	rc-amb
Anadromes	rc-anadromes
Anagram generator	rc-anagram-generator
Anagrams/Deranged anagrams	rc-anagrams-deranged-anagrams
Anaprimes	rc-anaprimes
Angle difference between two bearings	rc-angle-difference-between-two-bearings
Animated Spinners	rc-animated-spinners
Anti-primes	rc-anti-primes
Apply a digital filter (direct form II transposed)	rc-apply-a-digital-filter-direct-form-ii-transposed
Approximate equality	rc-approximate-equality
Apéry's constant	rc-ap-ry-s-constant
Archimedean spiral	rc-archimedean-spiral
Arena storage pool	rc-arena-storage-pool
Arithmetic derivative	rc-arithmetic-derivative
Arithmetic evaluation	rc-arithmetic-evaluation
Arithmetic numbers	rc-arithmetic-numbers
Arithmetic-geometric mean	rc-arithmetic-geometric-mean
Arithmetic-geometric mean/Calculate Pi	rc-arithmetic-geometric-mean-calculate-pi
Array length	rc-array-length
Ascending primes	rc-ascending-primes
ASCII art diagram converter	rc-ascii-art-diagram-converter
Associative array/Merging	rc-associative-array-merging
Attractive numbers	rc-attractive-numbers
Autogram checker	rc-autogram-checker
Average loop length	rc-average-loop-length
Averages/Mean angle	rc-averages-mean-angle
Averages/Pythagorean means	rc-averages-pythagorean-means
Averages/Root mean square	rc-averages-root-mean-square
AVL tree	rc-avl-tree
Babbage problem	rc-babbage-problem
Babylonian spiral	rc-babylonian-spiral
Balanced brackets	rc-balanced-brackets
Balanced ternary	rc-balanced-ternary
Barnsley fern	rc-barnsley-fern
Base64 decode data	rc-base64-decode-data
Bell numbers	rc-bell-numbers
Benford's law	rc-benford-s-law
Berlekamp–Massey algorithm	rc-berlekamp-massey-algorithm
Bernoulli's triangle	rc-bernoulli-s-triangle
Bernstein basis polynomials	rc-bernstein-basis-polynomials
Best shuffle	rc-best-shuffle
Bifid cipher	rc-bifid-cipher
Bin given limits	rc-bin-given-limits
Binomial transform	rc-binomial-transform
Bioinformatics/Base count	rc-bioinformatics-base-count
Bioinformatics/Global alignment	rc-bioinformatics-global-alignment
Bioinformatics/Sequence mutation	rc-bioinformatics-sequence-mutation
Biorhythms	rc-biorhythms
Bitcoin/address validation	rc-bitcoin-address-validation
Bitcoin/public point to address	rc-bitcoin-public-point-to-address
Bitwise IO	rc-bitwise-io
Blossom algorithm	rc-blossom-algorithm
Blum integer	rc-blum-integer
Borůvka algorithm	rc-bor-vka-algorithm
Boustrophedon transform	rc-boustrophedon-transform
Box the compass	rc-box-the-compass
Boyer-Moore string search	rc-boyer-moore-string-search
Brazilian numbers	rc-brazilian-numbers
Break OO privacy	rc-break-oo-privacy
Brilliant numbers	rc-brilliant-numbers
Bron–Kerbosch algorithm	rc-bron-kerbosch-algorithm
Burrows–Wheeler transform	rc-burrows-wheeler-transform
Calculating the value of e	rc-calculating-the-value-of-e
Calkin-Wilf sequence	rc-calkin-wilf-sequence
Call a function	rc-call-a-function
Canonicalize CIDR	rc-canonicalize-cidr
Cantor set	rc-cantor-set
Cartesian product of two or more lists	rc-cartesian-product-of-two-or-more-lists
Casting out nines	rc-casting-out-nines
Catalan numbers/Pascal's triangle	rc-catalan-numbers-pascal-s-triangle
Catamorphism	rc-catamorphism
Centre and radius of a circle passing through 3 points in a plane	rc-centre-and-radius-of-a-circle-passing-through-3-points-in-a-plane
Chaocipher	rc-chaocipher
Chaos game	rc-chaos-game
Check if a polygon overlaps with a rectangle	rc-check-if-a-polygon-overlaps-with-a-rectangle
Check if two polygons overlap	rc-check-if-two-polygons-overlap
Check input device is a terminal	rc-check-input-device-is-a-terminal
Check Machin-like formulas	rc-check-machin-like-formulas
Check output device is a terminal	rc-check-output-device-is-a-terminal
Cheryl's birthday	rc-cheryl-s-birthday
Chinese remainder theorem	rc-chinese-remainder-theorem
Chinese zodiac	rc-chinese-zodiac
